big city | Q1549591
city | Q515
sovereign state | Q3624078
country | Q6256
city in the United States | Q1093829
historical country | Q3024240
OECD country | Q113489728
county seat | Q62049
capital city | Q5119
human settlement | Q486972
largest city | Q51929311
town | Q3957
university | Q3918
village | Q532
railway station | Q55488
metropolis | Q200250
megacity | Q174844
river | Q4022
town in the United States | Q15127012
asteroid | Q3863
Mediterranean country | Q51576574
global city | Q208511
port settlement | Q2264924
commune of France | Q484170
kingdom | Q417175
urban municipality in Germany | Q42744322
island | Q23442
colonial power | Q20181813
church building | Q16970
college town | Q1187811
island country | Q112099
federal republic | Q512187
art museum | Q207694
U.S. state | Q35657
state | Q7275
civil parish | Q1115575
airport | Q1248784
census-designated place in the United States | Q498162
landlocked country | Q123480
social state | Q619610
Star Trek location | Q99281788
country bordering the Baltic Sea | Q63791824
rapid transit | Q5503
commune of Italy | Q747074
city in the state of New York | Q15063611
village of Poland | Q3558970
tourist destination | Q1200957
realm | Q1250464
crown colony | Q1351282
city with powiat rights | Q925381
department of France | Q6465
neighborhood | Q123705
land-grant university | Q615150
district of India | Q1149652
satellite state | Q325261
international airport | Q644371
powiat | Q247073
real country in a fiction work | Q57663042
district with city status | Q21503295
rural municipality of Poland | Q3504085
municipality of Georgia | Q2655841 
transcontinental country | Q1323642
Commonwealth realm | Q202686
Hanseatic city | Q707813
mountain | Q8502
empire | Q48349
secular state | Q859563
border city | Q902814
national library | Q22806
museum | Q33506
republic regime in France | Q17152708
federation | Q43702
state capital | Q11271835
financial centre | Q1066984
historical unrecognized state | Q99541706
residenz | Q1180262
municipality seat | Q15303838
building | Q41176
national museum | Q17431399
road | Q34442
market town | Q18511725
state of India | Q12443800
charter city | Q13218391
City district in Baden-Württemberg | Q2327515
city-state | Q133442
lake | Q23397
urban municipality of Poland | Q2616791
city or town | Q7930989
historical region | Q1620908
locality | Q3257686
archipelagic state | Q13107770
municipality of Norway | Q755707
state or insular area capital of the United States | Q21518270
institute of technology | Q1371037
movie theater | Q41253
municipality | Q15284
archaeological site | Q839954
district of Turkey | Q1147395
urban-rural municipality of Poland | Q3491915
railway line | Q728937
suburb | Q188509
municipality of Brazil | Q3184121
municipality of the Czech Republic | Q5153359
fictional city | Q1964689
hotel | Q27686
municipality of the Netherlands | Q2039348
province of Turkey | Q48336
separated municipality in Ontario | Q6593035
tourist attraction | Q570116
cemetery | Q39614
university campus | Q209465
municipality with town privileges in the Czech Republic | Q15978299
place with town rights and privileges | Q13539802
private university | Q902104
county of California | Q13212489
municipality with authorized municipal office | Q7841907
Czech municipality with expanded powers | Q7819319
city of India | Q58339717
seat of government | Q1901835
cadastral populated place in the Netherlands | Q1852859
district of the Czech Republic | Q548611
area of London | Q2755753
municipality of Spain | Q2074737
county town | Q1175512
town of New York | Q106071004
business cluster | Q745456
district town | Q8452914
municipality of Switzerland | Q70208
district capital | Q134626
metro station | Q928830
New England town | Q2154459
geographic region | Q82794
gromada of Poland | Q479053
urban area in Sweden | Q12813115
station located on surface | Q22808404
federated state of Germany | Q1221156
unitary authority area in England | Q1136601
diocese of the Catholic Church | Q3146899
Crown land | Q5473816
central business district | Q738570
non-metropolitan district | Q1187580
city in Chile | Q25412763
street | Q79007
village of New York | Q55237813
national Church | Q1649443
state church | Q2325038
province of Canada | Q11828004
high school | Q9826
public library | Q28564
arrondissement of France | Q194203
municipal part in Czechia | Q61089180
castle | Q23413
manor estate | Q2116450
province of Italy | Q15089
city of Oregon | Q63440326
consolidated city-county | Q3301053
communist state | Q849866
constituent country of the United Kingdom | Q3336843
municipality of Colombia | Q2555896
city of Pennsylvania | Q21010817
village in India | Q56436498
former capital | Q27554677
cultural region | Q3502482
enclave | Q171441
capital of region | Q12031379
district of the United Kingdom | Q17601336
